"","SRR1408848","SRR1408849","SRR1408850","SRR1408851","SRR1408852","SRR1408853","SRR1408854","SRR1408855"
"0610009B22Rik",144,137,218,152,127,169,221,154
"0610009E02Rik",1,2,11,6,0,0,0,0
"0610009L18Rik",17,15,33,16,7,20,18,9
"0610010F05Rik",550,492,607,635,447,569,768,661
"0610010K14Rik",101,61,21,31,122,133,41,23
"0610012G03Rik",320,328,245,175,293,352,238,158
"0610030E20Rik",92,79,117,79,85,89,38,83
"0610038B21Rik",10,1,0,0,0,6,9,0
"0610040B10Rik",9,25,24,0,13,14,0,30
"0610040F04Rik",13,10,15,0,3,4,0,8
"0610040J01Rik",62,47,55,53,40,61,35,53
"0610042G04Rik",0,1,0,0,3,2,0,0
"1110002E22Rik",47,47,36,66,38,28,34,56
"1110002J07Rik",2,13,12,2,3,0,0,3
"1110002L01Rik",20,23,11,5,8,28,6,13
"1110002O04Rik",4,0,0,0,0,0,0,12
"1110004F10Rik",503,412,593,445,397,467,427,385
"1110006O24Rik",1,2,2,0,0,1,4,0
"1110008P14Rik",652,475,244,189,369,680,155,166
"1110015O18Rik",0,3,0,1,0,0,9,8
"1110017D15Rik",9,2,10,3,0,16,16,6
"1110018N20Rik",154,82,84,112,100,162,74,94
"1110019D14Rik",11,7,19,7,17,28,18,17
"1110020A21Rik",6,6,6,5,2,3,0,4
"1110025M09Rik",4,17,17,3,0,7,6,12
"1110032A03Rik",332,168,365,373,194,328,305,308
"1110032F04Rik",256,286,336,386,305,332,522,373
"1110038B12Rik",59,51,32,17,71,30,21,26
"1110038F14Rik",57,61,12,19,36,35,48,18
"1110046J04Rik",62,35,45,26,29,40,41,30
"1110051M20Rik",853,896,737,847,730,1048,1006,640
"1110058D11Rik",0,0,0,0,0,0,0,1
"1110059E24Rik",39,11,6,30,17,33,25,36
"1110059G10Rik",196,99,261,163,123,149,108,139
"1110065P20Rik",28,11,9,4,28,21,7,4
"1190007I07Rik",39,17,0,17,22,7,5,8
"1300002E11Rik",56,42,101,69,90,39,68,61
"1500002F19Rik",0,3,0,0,9,0,9,0
"1500004A13Rik",228,264,298,194,236,326,301,317
"1500009C09Rik",776,627,474,413,578,711,461,340
"1500009L16Rik",50,86,85,91,95,90,174,76
"1500011B03Rik",955,993,687,703,981,847,1051,633
"1500012K07Rik",11,4,0,3,0,0,0,0
"1500015A07Rik",11,17,9,15,16,14,12,26
"1500015L24Rik",0,0,16,0,0,0,0,7
"1500026H17Rik",31,16,33,30,15,20,26,14
"1500035N22Rik",7,7,14,3,0,0,8,6
"1600002D24Rik",0,0,0,1,0,0,0,0
"1600010M07Rik",0,0,0,5,0,0,0,0
"1600012H06Rik",155,150,194,161,116,145,166,153
"1600014C10Rik",338,383,384,312,273,420,339,256
"1600014C23Rik",3,0,6,0,0,0,4,0
"1600015H23Rik",1,3,0,0,0,2,0,0
"1600020E01Rik",57,33,42,46,24,29,36,31
"1600023N17Rik",2,0,0,5,0,0,6,4
"1600029O15Rik",6,12,7,22,5,9,4,5
"1700001C19Rik",1,0,0,0,0,0,0,0
"1700001G11Rik",2,7,1,8,13,5,5,2
"1700001G17Rik",0,1,2,1,6,4,0,2
"1700001J11Rik",2,0,0,2,0,1,0,0
"1700001K19Rik",12,2,9,1,0,0,0,0
"1700001K23Rik",4,3,0,0,0,0,1,0
"1700001L05Rik",27,22,44,28,41,68,14,46
"1700001L19Rik",216,223,178,323,182,286,167,118
"1700001O22Rik",7,7,5,1,15,4,5,1
"1700001P01Rik",0,0,0,0,0,3,0,0
"1700003D09Rik",0,0,0,0,2,0,0,0
"1700003E16Rik",98,138,63,30,84,180,33,31
"1700003F12Rik",2,0,0,0,0,2,2,0
"1700003M07Rik",188,202,168,121,127,137,206,123
"1700006F04Rik",0,0,0,0,0,0,0,1
"1700007F19Rik",0,0,0,0,0,0,0,2
"1700007K13Rik",15,14,10,17,11,21,16,9
"1700007L15Rik",0,5,2,0,0,6,0,3
"1700007P06Rik",0,13,3,0,0,3,0,3
"1700008J07Rik",15,35,60,31,19,19,3,27
"1700008O03Rik",7,10,1,0,5,2,1,2
"1700009C05Rik",0,0,0,0,0,0,0,5
"1700010G06Rik",3,8,0,0,0,0,0,0
"1700010I14Rik",10,21,9,3,5,13,0,12
"1700010L04Rik",1,0,0,0,0,0,0,0
"1700012B09Rik",0,0,6,0,0,0,0,1
"1700012C14Rik",0,0,6,0,1,1,0,0
"1700012D01Rik",7,9,0,10,4,6,8,8
"1700012D14Rik",0,0,7,2,0,8,0,0
