,logFC,logCPM,LR,PValue
Gm35065,-5.99993591905442,-0.589948918016684,18.2890156950149,1.8979841055724e-05
Iqcm,-5.34408873374545,-0.906136959016738,12.0308722956263,0.000523265825150147
LOC118567856,-5.31221378848303,2.66314742941764,9.47964912778789,0.00207763699701919
Klk6,-5.0483453600283,1.07852680577802,17.0573783084713,3.62671874731444e-05
Kcnj13,-4.56839249874537,0.428285136405854,15.2543574024706,9.39597340924856e-05
Gbp6,-4.47501049469502,-0.560123016748252,13.3029120947181,0.000264994217476824
Psd4,-4.42979226111708,-0.282319122644773,11.3169536438619,0.000768026118703081
Liph,-4.31373345420465,-0.260597698910365,10.0455572307845,0.0015271580092342
1700028J19Rik,-4.30871119969737,-0.634970466378197,11.7168518211692,0.000619366460093517
Cass4,-3.97790416008725,-0.515395119035622,10.0622800112909,0.00151335824274751
Slfn8,-3.97595042260517,0.286445834400306,15.0668004490613,0.00010377245968828
Ccr9,-3.96508592885532,-0.600940245389593,8.65910292002808,0.0032543147166108
Gm34590,-3.94057338015504,-0.319747855944548,10.0242199075432,0.00154495095645719
H2-DMb1,-3.8334385391558,-0.377487786267734,10.0154405853143,0.00155233276554527
Zfp820,-3.80767918267008,-0.260130414116146,8.76106248378004,0.00307729723636673
LOC115487808,-3.76286157268959,0.227360257646587,6.50757890169173,0.0107415660729322
Lbp,-3.73601743495242,1.06838826904538,14.4999409398178,0.000140163936959966
Olfr316,-3.68634037842916,0.629977935097803,5.52816904983631,0.0187126773169302
Gm51806,-3.67116562524943,-0.374563895041386,3.98294478856217,0.0459631409096034
Zfp934,-3.66484726978537,0.134901724758668,11.1651038547508,0.000833503031519678
Gm52797,-3.59927340413531,-0.734378327769316,8.07925702081427,0.00447747993195095
9430065F17Rik,-3.56463406026122,-0.503379868737361,4.02876382165708,0.0447307053634935
3110053B16Rik,-3.53288330517831,2.50021568935689,8.18767532438971,0.00421759340563745
LOC118567548,-3.53003473322854,-0.338662040957725,8.22871438759513,0.0041232727905353
Bdh2,-3.47507812406917,0.424000648919714,12.0537598706568,0.000516880221833602
LOC118567721,-3.44610441908891,-0.6575373234362,4.55067742763552,0.0329057250110736
Gm34969,-3.44587907132677,0.282902086320925,8.00183877028977,0.00467298720694964
Klf14,-3.44245001059011,-0.693749729957074,5.33109284365497,0.0209482459723339
Gadl1,-3.43442946782547,-0.625162601799775,4.35446355138854,0.0369120828070287
Gm45994,-3.39490263878706,0.575238368832236,8.20934259899055,0.0041675247361005
Mkrn3,-3.37985539075033,0.00875039181612011,6.00111520990623,0.0142968384785357
Ttk,-3.36359660127673,-0.264266633241511,6.93459752349152,0.00845440852702209
Gm32746,-3.30983319017529,-0.798131256801877,6.28817125686653,0.012154639773188
Slitrk6,-3.26657722785192,-0.204586145998199,3.98236045690569,0.0459790872577276
Epyc,-3.26446751701959,0.0457889759947795,9.07077998881662,0.00259726260418478
Gm38847,-3.24832050176807,-0.515817445025989,6.92480095618935,0.0085008453303183
Ifi203,-3.15959536716028,-0.184989741150507,7.95011459996705,0.00480843316166984
P2ry10b,-3.15878428770086,-0.583075609180483,7.5268582580399,0.00607858209443296
S100a8,-3.14681780824495,-0.233678090721928,5.18830942856189,0.0227393260528579
Impg2,-3.1030741574673,-0.335780309930007,5.87319028822639,0.0153731674860112
Gm27151,-3.08814972422194,-0.0709687808366648,7.683113418426,0.0055739919524205
Gm35025,-3.07005449858566,0.383026791755434,6.09660592048591,0.0135441776864132
Gm20515,-3.05997669387394,0.716697925006758,5.06701736725353,0.0243853071152986
Mlf1,-3.05282237049885,0.348927118973681,9.60869536504812,0.00193658176238455
Gm52150,-3.04591769993155,-0.0211955428721218,5.58388701652608,0.0181264481561589
Loxl2,-3.02015644942125,0.0525845068650789,8.55240348985714,0.00345066327425625
Gpr35,-3.01323322431393,0.576175767972531,6.71342042597615,0.00956900098455627
Agt,-2.9872100393223,1.96813519874873,19.5639163160084,9.72894492454857e-06
Rbm46,-2.98390870512727,-0.336101075699132,5.2572523454044,0.0218554966239492
LOC115486415,-2.95127327219822,-0.0154756519354888,6.41722780496432,0.0113018451661067
Rad54b,-2.95104448656206,0.523069429454071,8.42783452768256,0.00369520150155779
Chst9,-2.93801178244713,0.135300341528539,6.103438807703,0.0134919084836638
