"","SRR8809606","SRR8809607","SRR8809608","SRR8809609","SRR8809610","SRR8809611","SRR8809612","SRR8809613","SRR8809614","SRR8809615","SRR8809616","SRR8809617","SRR8809618","SRR8809619","SRR8809620","SRR8809621","SRR8809622","SRR8809623","SRR8809624","SRR8809625","SRR8809626","SRR8809627","SRR8809628","SRR8809629","SRR8809630","SRR8809631","SRR8809632","SRR8809633","SRR8809634","SRR8809635","SRR8809636","SRR8809637","SRR8809638","SRR8809639","SRR8809640","SRR8809641","SRR8809642","SRR8809643"
"0610005C13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610006L08Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610009B22Rik",0,1,248,0,0,311,0,0,38,122,308,749,20,351,5,135,0,0,308,106,0,291,357,0,180,552,2,99,0,209,25,681,3,1,0,983,0,99
"0610009E02Rik",0,0,0,0,0,58,32,100,0,49,0,24,54,36,3,67,0,0,43,0,0,18,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610009L18Rik",0,0,49,195,0,0,0,0,127,0,71,222,0,75,0,35,0,0,26,269,81,25,0,194,0,112,0,1,95,0,1,48,0,0,0,471,0,80
"0610010F05Rik",76,157,159,248,0,346,7,6,0,494,416,0,614,285,49,308,533,290,1105,46,52,1174,476,38,442,6,85,2,0,1033,311,68,82,84,155,0,498,937
"0610010K14Rik",308,0,241,0,85,0,6,125,1532,624,952,1064,184,169,169,268,26,72,243,455,0,143,492,13,30,284,1,0,744,340,160,1,4,10,27,382,0,708
"0610012G03Rik",366,20,654,147,1,124,499,583,1779,730,2819,1138,323,718,195,370,204,88,1009,1242,259,587,992,746,72,938,57,976,1161,1093,256,844,8,81,208,1867,331,745
"0610025J13Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610030E20Rik",81,128,157,61,0,1,0,136,367,13,285,3,307,65,228,329,364,267,692,581,27,484,69,70,62,0,0,1,0,1204,0,0,6,0,101,0,0,3
"0610031O16Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610038B21Rik",0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610039H22Rik",0,5,1,24,0,0,0,0,0,0,17,0,0,8,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0
"0610039K10Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610040B10Rik",0,23,30,27,0,2,9,0,0,0,136,0,5,36,1,61,0,0,4,0,0,25,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610040F04Rik",0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230,50,16,0,0,0,0,0,0,0,0,235,0,0,0,0,0,0,0,0
"0610040J01Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"0610042G04Rik",3,13,2,51,0,52,0,2,0,0,48,106,28,25,0,0,0,0,27,0,0,18,0,261,47,0,0,0,0,0,0,0,1,1,1,0,0,0
"0610043K17Rik",0,0,8,6,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,13,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0
"1100001I12Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110002E22Rik",2,0,32,256,0,22,2,0,0,0,0,0,214,4,183,72,76,0,3,4,26,0,88,0,12,0,0,0,0,0,7,0,28,0,6,185,0,0
"1110002J07Rik",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110002L01Rik",0,0,0,0,0,0,0,12,0,53,0,0,0,23,0,0,0,22,102,7,0,14,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
"1110002O04Rik",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110004F10Rik",545,98,575,58,128,278,944,1065,2179,542,1707,1243,806,2258,845,1128,269,168,972,1632,22,602,1273,584,98,887,184,635,199,1460,590,279,327,779,84,2396,470,1635
"1110006O24Rik",0,0,0,162,0,31,0,0,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1110008P14Rik",896,1,685,210,5,781,481,391,2716,727,1808,883,362,893,329,630,211,164,440,901,269,206,588,317,76,445,48,88,11,860,575,689,187,275,474,1601,15,1192
"1110015O18Rik",0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,3,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
