,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Pacc1,32.7479974588422,23.5882867637652,1.67018311448695,14.1231740155697,2.73394767698034e-45,2.73394767698034e-45
Gm38876,25.3632068854671,23.3251096056445,1.68627003304606,13.832369163028,1.62576425944063e-43,1.62576425944063e-43
LOC118568710,33.1667433529287,22.5293022584648,1.71896385725821,13.106326909281,3.02917562347382e-39,3.02917562347382e-39
Pdzd3,26.9002670919873,23.4424052301005,1.78889811617196,13.1043825348001,3.10781191348343e-39,3.10781191348343e-39
Tha1,22.4025479893941,23.1865918761414,1.85491837827184,12.5000604596648,7.4594533438021e-36,7.4594533438021e-36
Gm34527,19.7046271287122,23.0102108158005,1.86565427982719,12.3335877737926,5.97269220736901e-35,5.97269220736901e-35
Gm6297,24.1403268443551,23.2752268896095,1.96252929194519,11.8598112064559,1.91406217878853e-32,1.91406217878853e-32
Lrp8os2,21.6054041365784,23.1398214433619,1.98499463692192,11.6573722734306,2.10436891701275e-31,2.10436891701275e-31
Klhdc9,14.5349013438947,22.5825414034935,1.96017408211811,11.5206815606353,1.03786778574553e-30,1.03786778574553e-30
Gm41688,26.1747505687388,21.766552666015,1.89271473670329,11.5001760402245,1.31646653331674e-30,1.31646653331674e-30
Ccdc62,22.5465260676287,23.1937286471562,2.03229177302012,11.4125978144806,3.61760989655358e-30,3.61760989655358e-30
Zfp41,17.1123359776514,22.79004731179,2.02516310755066,11.253437921528,2.22737523011737e-29,2.22737523011737e-29
Gm5136,30.3309402613746,21.7349544992104,1.93539227760368,11.2302579434293,2.89631772801391e-29,2.89631772801391e-29
Fscn2,18.8681846884196,22.9528949976982,2.17912028802615,10.5331014188708,6.07976919884423e-26,6.07976919884423e-26
Gm16008,13.0820806335837,22.1355505756508,2.10944540672234,10.4935403898625,9.2496182082849e-26,9.2496182082849e-26
LOC118568376,12.579154295912,22.3805272969216,2.14974174667206,10.4107981024084,2.21358016101269e-25,2.21358016101269e-25
Niban2,31.7393442321421,22.5955573110618,2.19246475663296,10.3060070829884,6.61946806411027e-25,6.61946806411027e-25
Ecel1,43.6399216215873,22.761662323455,2.23461787812067,10.1859304654797,2.29157050420407e-24,2.29157050420407e-24
Adamts8,20.8484311012288,22.3653001657362,2.2058824674737,10.1389355487059,3.71121369953636e-24,3.71121369953636e-24
