"","SRR1408848","SRR1408849","SRR1408850","SRR1408851","SRR1408852","SRR1408853","SRR1408854","SRR1408855","./SRR8809606","SRR8809607","SRR8809608","SRR8809609","SRR8809610","SRR8809611","SRR8809612","SRR8809613","SRR8809614","SRR8809615","SRR8809616","SRR8809617","SRR8809618","SRR8809619","SRR8809620","SRR8809621","SRR8809622","SRR8809623","SRR8809624","SRR8809625","SRR8809626","SRR8809627","SRR8809628","SRR8809629","SRR8809630","SRR8809631","SRR8809632","SRR8809633","SRR8809634","SRR8809635","SRR8809636","SRR8809637","SRR8809638","SRR8809639","SRR8809640","SRR8809641","SRR8809642","SRR8809643"
"Dataset","PRJNA252803","PRJNA252803","PRJNA252803","PRJNA252803","PRJNA252803","PRJNA252803","PRJNA252803","PRJNA252803","PRJNA529794","PRJNA529794","PRJNA529794","PRJNA529794","PRJNA529794","PRJNA529794","PRJNA529794","PRJNA529794","PRJNA529794","PRJNA529794","PRJNA529794","PRJNA529794","PRJNA529794","PRJNA529794","PRJNA529794","PRJNA529794","PRJNA529794","PRJNA529794","PRJNA529794","PRJNA529794","PRJNA529794","PRJNA529794","PRJNA529794","PRJNA529794","PRJNA529794","PRJNA529794","PRJNA529794","PRJNA529794","PRJNA529794","PRJNA529794","PRJNA529794","PRJNA529794","PRJNA529794","PRJNA529794","PRJNA529794","PRJNA529794","PRJNA529794","PRJNA529794"
"Status","SRR1408848_refseq.sam","SRR1408849_refseq.sam","SRR1408850_refseq.sam","SRR1408851_refseq.sam","SRR1408852_refseq.sam","SRR1408853_refseq.sam","SRR1408854_refseq.sam","SRR1408855_refseq.sam","./SRR8809606_refseq.sam","SRR8809607_refseq.sam","SRR8809608_refseq.sam","SRR8809609_refseq.sam","SRR8809610_refseq.sam","SRR8809611_refseq.sam","SRR8809612_refseq.sam","SRR8809613_refseq.sam","SRR8809614_refseq.sam","SRR8809615_refseq.sam","SRR8809616_refseq.sam","SRR8809617_refseq.sam","SRR8809618_refseq.sam","SRR8809619_refseq.sam","SRR8809620_refseq.sam","SRR8809621_refseq.sam","SRR8809622_refseq.sam","SRR8809623_refseq.sam","SRR8809624_refseq.sam","SRR8809625_refseq.sam","SRR8809626_refseq.sam","SRR8809627_refseq.sam","SRR8809628_refseq.sam","SRR8809629_refseq.sam","SRR8809630_refseq.sam","SRR8809631_refseq.sam","SRR8809632_refseq.sam","SRR8809633_refseq.sam","SRR8809634_refseq.sam","SRR8809635_refseq.sam","SRR8809636_refseq.sam","SRR8809637_refseq.sam","SRR8809638_refseq.sam","SRR8809639_refseq.sam","SRR8809640_refseq.sam","SRR8809641_refseq.sam","SRR8809642_refseq.sam","SRR8809643_refseq.sam"
"Assigned","9489101","9179716","10402905","8149214","8422222","10021864","9457563","8290453","4877667","1126060","6596306","3445672","3726012","7685135","7380682","5749322","9712396","7652238","15147088","8930373","6801708","9831295","5320365","7446118","5286765","3725248","11720860","10132574","3108914","6889391","8990003","9406682","4223549","7955065","4309020","6106299","5843785","6445239","5206116","6239489","4551906","6227358","4405198","7638637","5679301","7603662"
"Unassigned_Unmapped","820659","810747","746477","619900","627956","767077","692479","624819","4883291","12375283","1274562","2785813","15031520","8113136","11218998","13006988","13232375","7383044","4728617","12876230","2127659","2341993","4831006","3059520","7195265","2140416","2495279","1993822","10480881","987240","2344017","3720539","18793307","2768634","46843298","25735104","14217360","3255259","3868607","10597085","10586000","13613632","7870408","7435410","9763258","2072361"
"Unassigned_Read_Type","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Unassigned_Singleton","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Unassigned_MappingQuality","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Unassigned_Chimera","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Unassigned_FragmentLength","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Unassigned_Duplicate","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
