"PRJNA252803__1","PRJNA252803__2","PRJNA529794__1","PRJNA529794__2","PRJNA252803_fc","PRJNA529794_fc","group_num"
11.473125,13.760625,1.311,1.22061111111111,1.2,-1.07,"group_1"
10.205,16.1133333333333,0.70038961038961,0.945833333333333,1.58,1.35,"group_10"
45.0375,55.4545833333333,13.0718367346939,23.2697023809524,1.23,1.78,"group_100"
35.1575,32.6175,13.0321428571429,10.4079166666667,-1.08,-1.25,"group_10000"
24.9975,23.66,1.81071428571429,2.37708333333333,-1.06,1.31,"group_10001"
18.9825,16.84,2.2175,2.45291666666667,-1.13,1.11,"group_10003"
21.845,22.5525,12.6978571428571,15.7308333333333,1.03,1.24,"group_10004"
33.8125,32.1075,6.99214285714286,6.66125,-1.05,-1.05,"group_10005"
7.59,6.6875,1.35071428571429,1.20958333333333,-1.13,-1.12,"group_10006"
11.93,12.80125,0.608928571428571,1.04020833333333,1.07,1.71,"group_10007"
229.5225,203.785,63.8475,32.18625,-1.13,-1.98,"group_10009"
39.85,41.47,6.81571428571429,17.9920833333333,1.04,2.64,"group_10010"
15.6825,20.32,2.20928571428571,3.11125,1.3,1.41,"group_10011"
9.36625,15.06625,0.278928571428571,1.31708333333333,1.61,4.72,"group_10012"
11.27125,11.0375,1.57857142857143,1.13083333333333,-1.02,-1.4,"group_10013"
15.3525,16.9175,8.01071428571429,4.97541666666667,1.1,-1.61,"group_10014"
17.715,15.14,2.22214285714286,3.0375,-1.17,1.37,"group_10015"
21.8775,10.8825,0.642857142857143,0.223333333333333,-2.01,-2.88,"group_10016"
17.8675,23.0525,6.05285714285714,8.64583333333333,1.29,1.43,"group_10017"
191.8375,172.025,61.79,51.0125,-1.12,-1.21,"group_10019"
6.0875,7.00375,0.599285714285714,0.24,1.15,-2.5,"group_10020"
16.17,19.5875,0.61,1.31416666666667,1.21,2.15,"group_10021"
12.99,15.9225,10.4,14.06875,1.23,1.35,"group_10022"
15.165,15.4275,3.64142857142857,3.315,1.02,-1.1,"group_10023"
31.4775,30.2375,0,0.78,-1.04,Inf,"group_10024"
10.1,11.0325,1.16785714285714,1.52833333333333,1.09,1.31,"group_10025"
18.1125,18.365,0.994285714285714,2.18916666666667,1.01,2.2,"group_10026"
49.1975,41.625,45.675,36.35,-1.18,-1.26,"group_10027"
250.49,210.805,21.0114285714286,28.3675,-1.19,1.35,"group_10028"
8.09,7.2125,2.67928571428571,2.28125,-1.12,-1.17,"group_10029"
10.1225,14.815,6.00571428571429,20.61,1.46,3.43,"group_10031"
13.6575,13.765,1.175,1.52583333333333,1.01,1.3,"group_10032"
7.4875,7.2625,1.15142857142857,4.59291666666667,-1.03,3.99,"group_10033"
9.425,9.795,0.035,1.42458333333333,1.04,40.7,"group_10034"
9.065,9.92,1.74785714285714,2.3675,1.09,1.35,"group_10037"
13.7925,11.2325,1.36071428571429,1.62125,-1.23,1.19,"group_10038"
