Name,GP_Number,MT_Log2FC(TPM),MT_p-value(TPM),MT_Log2FC(TMM),MT_p-value(TMM),MC_Log2FC(TPM),MC_p-value(TPM),MC_Log2FC(TMM),MC_p-value(TMM)
T4S1,10016,-1.1,0.02,-1.1,0.02,-2.01,0.04,-7.55,0
ESS2,10246,1.01,0.03,1.01,0.03,2.09,<0.01,1.98,0.01
WDR92,12036,-1.59,0.01,-1.59,0.01,3.59,<0.01,1.77,0.02
G137C,12213,0.82,0.02,0.82,0.02,2.11,0.03,-3.67,0.02
CAH2,14602,-0.62,0.04,-,-,-3.13,<0.01,-,-
ECHB,2726,-0.54,0.03,-,-,-2.55,<0.01,-,-
RBM28,3334,-0.9,0.03,-0.9,0.03,2.24,<0.01,2.4,0.01
STRN,34631,0.77,0.04,0.77,0.04,-1.81,0.02,-1.76,0.05
FAS,34817,0.96,0.04,-,-,2.63,0.01,-,-
LMO7,34823,1.11,0.04,1.11,0.04,1.87,0.01,7.05,0
BD1L1,34841,1.38,0.01,1.4,0.01,-2.96,<0.01,-5.47,0
PCDH1,34903,0.86,0.04,0.86,0.04,2.62,0.01,-3.61,0.02
GCSP,34931,-1.01,0.05,-1.01,0.05,-2.24,0.03,-6.81,0
MYCB2,35154,1.83,0,1.82,0,1.1,0.04,5.54,0
DCNL4,4130,0.55,0.04,-,-,-1.68,0.01,-,-
ST2B1,4606,-0.88,0.05,-,-,3.7,<0.01,-,-
CRIM1,4717,0.69,0.02,0.69,0.02,2.92,<0.01,-2.9,0.01
UNC80,5200,0.98,0.01,0.98,0.01,2.58,<0.01,1.49,0.03
SLIRP,5326,-0.44,0.05,-,-,-1.11,0.02,-,-
FCRL2,6903,1.01,<0.01,-,-,3.19,0,-,-
GPC5B,6970,-0.47,0.04,-0.47,0.04,1.87,0.02,-1.57,0.04
MLC1,8131,-0.48,0.04,-0.48,0.04,-3.05,<0.01,-4.11,0
ASTRB(ASTRA),8230,0.92,0.01,-,-,1.68,0.03,-,-
TAU,8242,0.49,0.04,0.49,0.04,-1.36,0.01,1.84,0.03
