tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
CUFF.1.1	-	-	CUFF.1	-	-	chr1:3199874-3204720	4846	10.0271	20.5069	19.3035	21.7104	OK
CUFF.3.1	-	-	CUFF.3	-	-	chr1:4688600-4688875	275	5.27317	10.7844	3.97149	17.5974	OK
CUFF.4.1	-	-	CUFF.4	-	-	chr1:4688930-4689222	292	27.4066	56.0507	41.8211	70.2802	OK
CUFF.2.1	-	-	CUFF.2	-	-	chr1:3204780-3421739	6105	4.81159	9.84043	9.09652	10.5843	OK
CUFF.5.1	-	-	CUFF.5	-	-	chr1:4808458-4830317	144	96.63	197.623	113.356	281.89	OK
CUFF.7.1	-	-	CUFF.7	-	-	chr1:4832307-4837075	149	108.607	222.118	138.165	306.071	OK
CUFF.6.1	-	-	CUFF.6	-	-	chr1:4776379-4785635	930	16.3042	33.3446	29.4344	37.2548	OK
CUFF.8.1	-	-	CUFF.8	-	-	chr1:4839388-4841133	278	41.1479	84.1537	65.6763	102.631	OK
CUFF.9.1	-	-	CUFF.9	-	-	chr1:4844959-4846720	1761	10.3772	21.2229	19.1101	23.3357	OK
CUFF.10.1	-	-	CUFF.10	-	-	chr1:4898723-4899183	460	4.07119	8.32621	5.00928	11.6431	OK
CUFF.11.1	-	-	CUFF.11	-	-	chr1:4905733-4905969	236	11.1453	22.7939	10.6101	34.9778	OK
CUFF.12.1	-	-	CUFF.12	-	-	chr1:4906041-4906124	83	363.418	743.246	263.341	1223.15	OK
CUFF.13.1	-	-	CUFF.13	-	-	chr1:4906819-4907016	197	17.3294	35.4413	14.9017	55.981	OK
CUFF.14.1	-	-	CUFF.14	-	-	chr1:4909031-4909318	287	7.12773	14.5773	7.28865	21.8659	OK
CUFF.15.1	-	-	CUFF.15	-	-	chr1:4909605-4916981	1377	9.30683	19.0339	16.3217	21.746	OK
CUFF.15.2	-	-	CUFF.15	-	-	chr1:4909605-4916837	1305	3.09068	6.3209	4.44759	8.19421	OK
CUFF.16.1	-	-	CUFF.16	-	-	chr1:5162579-5163136	557	4.06299	8.30944	5.48794	11.1309	OK
CUFF.17.1	-	-	CUFF.17	-	-	chr1:5275620-5275687	67	975.733	1995.52	734.875	3256.17	OK
CUFF.18.1	-	-	CUFF.18	-	-	chr1:5602833-5603133	300	5.53212	11.314	5.26642	17.3616	OK
CUFF.19.1	-	-	CUFF.19	-	-	chr1:5603856-5604100	244	8.60686	17.6023	7.40107	27.8036	OK
CUFF.20.1	-	-	CUFF.20	-	-	chr1:6214929-6230020	200	20.5744	42.0778	20.1493	64.0063	OK
CUFF.21.1	-	-	CUFF.21	-	-	chr1:6244119-6244276	157	56.1766	114.89	59.1827	170.597	OK
CUFF.22.1	-	-	CUFF.22	-	-	chr1:6244797-6245344	369	18.5867	38.0126	29.2872	46.7381	OK
CUFF.23.1	-	-	CUFF.23	-	-	chr1:6233965-6240368	913	9.71259	19.8637	16.7992	22.9282	OK
CUFF.24.1	-	-	CUFF.24	-	-	chr1:6275688-6276244	556	3.05587	6.24971	3.83931	8.66012	OK
CUFF.26.1	-	-	CUFF.26	-	-	chr1:6429934-6430206	272	6.82356	13.9552	6.02373	21.8867	OK
CUFF.27.1	-	-	CUFF.27	-	-	chr1:6440682-6440944	262	9.82786	20.0995	10.3498	29.8491	OK
CUFF.25.1	-	-	CUFF.25	-	-	chr1:6248062-6275580	4285	9.34096	19.1037	17.5152	20.6922	OK
CUFF.25.2	-	-	CUFF.25	-	-	chr1:6248062-6275580	4339	2.42874	4.96715	4.08624	5.84806	OK
CUFF.28.1	-	-	CUFF.28	-	-	chr1:5083613-5162529	1808	61.4809	125.738	118.091	133.385	OK
CUFF.28.2	-	-	CUFF.28	-	-	chr1:5093465-5162529	1484	26.4843	54.1643	48.917	59.4117	OK
