tracking_id	class_code	nearest_ref_id	gene_id	gene_short_name	tss_id	locus	length	coverage	FPKM	FPKM_conf_lo	FPKM_conf_hi	FPKM_status
CUFF.1	-	-	CUFF.1	-	-	chr1:3199874-3204720	-	-	20.5069	19.3035	21.7104	OK
CUFF.3	-	-	CUFF.3	-	-	chr1:4688600-4688875	-	-	10.7844	3.97149	17.5974	OK
CUFF.4	-	-	CUFF.4	-	-	chr1:4688930-4689222	-	-	56.0507	41.8211	70.2802	OK
CUFF.2	-	-	CUFF.2	-	-	chr1:3204780-3421739	-	-	9.84043	9.09652	10.5843	OK
CUFF.5	-	-	CUFF.5	-	-	chr1:4808458-4830317	-	-	197.623	113.356	281.89	OK
CUFF.7	-	-	CUFF.7	-	-	chr1:4832307-4837075	-	-	222.118	138.165	306.071	OK
CUFF.6	-	-	CUFF.6	-	-	chr1:4776379-4785635	-	-	33.3446	29.4344	37.2548	OK
CUFF.8	-	-	CUFF.8	-	-	chr1:4839388-4841133	-	-	84.1537	65.6763	102.631	OK
CUFF.9	-	-	CUFF.9	-	-	chr1:4844959-4846720	-	-	21.2229	19.1101	23.3357	OK
CUFF.10	-	-	CUFF.10	-	-	chr1:4898723-4899183	-	-	8.32621	5.00928	11.6431	OK
CUFF.11	-	-	CUFF.11	-	-	chr1:4905733-4905969	-	-	22.7939	10.6101	34.9778	OK
CUFF.12	-	-	CUFF.12	-	-	chr1:4906041-4906124	-	-	743.246	263.341	1223.15	OK
CUFF.13	-	-	CUFF.13	-	-	chr1:4906819-4907016	-	-	35.4413	14.9017	55.981	OK
CUFF.14	-	-	CUFF.14	-	-	chr1:4909031-4909318	-	-	14.5773	7.28865	21.8659	OK
CUFF.15	-	-	CUFF.15	-	-	chr1:4909605-4916981	-	-	25.3548	22.5316	28.178	OK
CUFF.16	-	-	CUFF.16	-	-	chr1:5162579-5163136	-	-	8.30944	5.48794	11.1309	OK
CUFF.17	-	-	CUFF.17	-	-	chr1:5275620-5275687	-	-	1995.52	734.875	3256.17	OK
CUFF.18	-	-	CUFF.18	-	-	chr1:5602833-5603133	-	-	11.314	5.26642	17.3616	OK
CUFF.19	-	-	CUFF.19	-	-	chr1:5603856-5604100	-	-	17.6023	7.40107	27.8036	OK
CUFF.20	-	-	CUFF.20	-	-	chr1:6214929-6230020	-	-	42.0778	20.1493	64.0063	OK
CUFF.21	-	-	CUFF.21	-	-	chr1:6244119-6244276	-	-	114.89	59.1827	170.597	OK
CUFF.22	-	-	CUFF.22	-	-	chr1:6244797-6245344	-	-	38.0126	29.2872	46.7381	OK
CUFF.23	-	-	CUFF.23	-	-	chr1:6233965-6240368	-	-	19.8637	16.7992	22.9282	OK
CUFF.24	-	-	CUFF.24	-	-	chr1:6275688-6276244	-	-	6.24971	3.83931	8.66012	OK
CUFF.26	-	-	CUFF.26	-	-	chr1:6429934-6430206	-	-	13.9552	6.02373	21.8867	OK
CUFF.27	-	-	CUFF.27	-	-	chr1:6440682-6440944	-	-	20.0995	10.3498	29.8491	OK
CUFF.25	-	-	CUFF.25	-	-	chr1:6248062-6275580	-	-	24.0708	22.4491	25.6925	OK
CUFF.28	-	-	CUFF.28	-	-	chr1:5083613-5162529	-	-	179.902	171.469	188.335	OK
CUFF.29	-	-	CUFF.29	-	-	chr1:8414205-8414313	-	-	236.284	78.7615	393.807	OK
CUFF.30	-	-	CUFF.30	-	-	chr1:8362701-8363618	-	-	9.04607	6.9916	11.1005	OK
CUFF.31	-	-	CUFF.31	-	-	chr1:8447981-8448075	-	-	584.764	260.395	909.133	OK
CUFF.32	-	-	CUFF.32	-	-	chr1:8359988-8362633	-	-	9.21082	8.08592	10.3357	OK
CUFF.34	-	-	CUFF.34	-	-	chr1:8679105-8782897	-	-	46.9651	26.9391	66.9911	OK
CUFF.33	-	-	CUFF.33	-	-	chr1:8463404-8554763	-	-	27.7521	12.358	43.1462	OK
CUFF.36	-	-	CUFF.36	-	-	chr1:8468460-8468675	-	-	47.3215	26.6743	67.9687	OK
CUFF.35	-	-	CUFF.35	-	-	chr1:8607074-8677973	-	-	22.9805	12.4215	33.5396	OK
CUFF.39	-	-	CUFF.39	-	-	chr1:9451225-9451509	-	-	13.1318	6.11256	20.1511	OK
CUFF.40	-	-	CUFF.40	-	-	chr1:9553625-9557085	-	-	12.5859	7.41313	17.7587	OK
CUFF.41	-	-	CUFF.41	-	-	chr1:9546526-9547434	-	-	18.2167	15.3013	21.1321	OK
CUFF.38	-	-	CUFF.38	-	-	chr1:9203194-9298533	-	-	14.8503	10.5415	19.1591	OK
CUFF.44	-	-	CUFF.44	-	-	chr1:9566777-9576770	-	-	10.7876	0.768019	20.8071	OK
CUFF.45	-	-	CUFF.45	-	-	chr1:9601151-9601650	-	-	64.5797	55.9898	73.1697	OK
CUFF.42	-	-	CUFF.42	-	-	chr1:9548120-9553471	-	-	44.758	30.7274	58.7886	OK
CUFF.43	-	-	CUFF.43	-	-	chr1:9560130-9563580	-	-	95.1936	40.0251	150.362	OK
CUFF.47	-	-	CUFF.47	-	-	chr1:9720006-9720285	-	-	22.6745	13.1714	32.1776	OK
