Group	Gene_name
group_10000	NUCKS
group_10001	CBX1
group_10003	FN3K
group_10004	RM21
group_10005	SAS10
group_10006	TAF5L
group_10007	TULP4
group_10009	QCR7
group_10010	UBXN1
group_10011	LSM12
group_10012	FAS
group_10013	SHOT1
group_10014	OSCP1
group_10015	SPP2A
group_10016	T4S1
group_10017	RM09
group_10019	RL27
group_10020	CLN5
group_10021	SNP29
group_10022	PAK3
group_10023	RPAP3
group_10024	OGDHL
group_10025	INT5
group_10026	PORED
group_10027	POP5
group_10028	VTI1B
group_10029	RFA2
group_10031	MED27
group_10032	RM54
group_10033	B9D1
group_10034	WDR43
group_10037	AN34A
group_10038	TMF1
group_10039	MIX23
group_10041	VPS35
group_10043	VAMP2
group_10044	LY6H
group_10045	SUGP2
group_10046	PRAF3
group_10047	NEUL4
group_10048	NXPH1
group_10049	PHF20
group_10050	FPPS
group_10051	ACBG1
group_10052	TTPAL
group_10053	GPR22
group_10054	MFA1B
group_10055	CEP83
group_10057	VAS1
group_10058	ES8L3
group_10059	CATH
group_10060	RCAN1
group_10061	ERGI1
group_10062	MGAT3
group_10063	RS16
group_10064	APH1A
group_10066	LIAS
group_10067	RFA1
group_10068	KCC1B
group_10069	PARK7
group_10071	MEX3C
group_10072	DHE3
group_10073	MAPK2
group_10074	CGRE1
group_10075	HM20A
group_10076	ROGDI
group_10077	MDHC
group_10078	PKHB1
group_10079	HCDH
group_10081	ASTRB
group_10082	STX1B
group_10082	STX4
group_10083	STX1B
group_10083	STX4
group_10084	PSB2
group_10084	PSB4
group_10085	MACF1
group_10085	K0754
group_10086	NEUM
group_10087	TE2IP
group_10088	SEC13
group_10089	NC2B
group_10091	ITBP1
group_10092	APC16
group_10094	RNF25
group_10095	ZN318
group_10096	NFU1
group_10097	TAB2
group_10098	FHL1
group_100	AT2B2
group_100	AT2B4
group_100	AT2B1
group_100	AT2B3
group_10100	SMYD2
group_10101	E2F4
group_10102	RL32
group_10103	MINY2
group_10105	PANX1
group_10108	KCTD4
group_10109	NDUS5
group_10110	KMT2E
group_10112	IFT57
group_10113	RL23A
group_10114	PHOP2
group_10118	TM237
group_10119	OSER1
group_1011	EF2
group_1011	U5S1
group_10120	INSI2
group_10121	TM222
group_10122	ZN511
group_10124	GPKOW
group_10125	VAMP7
group_10127	AP1AR
group_10128	MUL1
group_10129	TADA1
group_1012	VPS4B
group_1012	VPS4A
group_10131	EIF3F
group_10132	CMKMT
group_10133	SIAS
group_10134	PPR1B
group_10135	RL15
group_10136	TICN1
